customer_id,customer_name,review_head,review_body,review_date,ratings
customer_review-R1V5QBAI3WRR37,Vipin,Worth for money 👍,worth value money good beginers pro people also,27-07-2019,4
customer_review-R2S2DWO6C6DNIW,SASHANKA PANDA,Mast DSLR,first dslr purchasedthis dslr amazing4k present dslr extremely goodi using 50mm lens video recording output fantasticfor photography videography would recommendationthan amazon,29-08-2019,5
customer_review-R1OHNRNHEYG4QG,Amit Yadav,Best camera for beginners,highly recommended beginners canon 200d ii perfect kit amazing quality n good product great results,28-10-2019,5
customer_review-R1EICDN1Z1HCLW,Amit Sarda,Return period over problem start ☺️☺️,good product first 10 days sudden auto flash stopped working trying find reset factory setting else ask service center guys auto flash drawback manully raise great feature canon 1500 think 1500d better deal one,02-11-2019,2
customer_review-R24GG44UVC7D50,Shubham,Just perfect for beginner photographers....,camera perfect beginner da bag good bag wont last 34 months used regularly look im da one expert photography da guided mode helped capture beautiful pictures quite handy investment play manual mode make da camera buy 50 mm prime lens best potrait,09-10-2019,5
customer_review-R29UIDV67CEIU2,joshua,You are wasting your money on Canon 200 D Mark 2,pl dont buy camera first day first usage got canon error 1 saying lens clear even though everything good forst use get errors need understand image quality bad everyine photoshops images hence look good snaps takes camera good pl go nikon even need get checked need wait 20 days technician locally canon store collection points nothing gets resolved spot,22-07-2019,1
customer_review-RWDWSGHMOI9IH,Anirudh,Great camera,first dslr found camera pretty good ui pretty good sensor impressive kit lenses quite enough normal shooting needs would also recommend add nifty50 arsenal also great value money,21-10-2019,5
customer_review-R3AYOQ5SHR9ERT,ASHISH SINGH CHAUHAN,Very Good Camera in low medium Price.,picture quality great night photography also great value money amazon sale got 54k lense 55250 great minimum noise great photos,05-10-2019,5
customer_review-R12ZQI2BVXG6HB,Majid,What the f***,1st day review get damaged product,22-11-2019,1
customer_review-RJN18844HGJSP,Ankush Kaidalwar,Osm DSLR package for beginners,osm package beginnernot less muchexactly need beginner level photography loved itthe con iseven though bought amazon great indian festival costed rs1000 actual market price,06-11-2019,5
customer_review-REWPWHEDYQCBM,Sandeep,Great one!,find buy camera body 1018 mm wide lense plus 18 f 1855 mm lenses separately kit lenses great eventually may use two l,15-11-2019,5
customer_review-R23T77R6LFH69T,amaldevkv,Very nice.,battery good 4k 8 second record,27-08-2019,5
customer_review-R3PYMGIN9W9NNC,Rehaan Cheema,Amazing camera,go better beginners even better 80d,19-09-2019,5
customer_review-R45CFZAE1HGIT,Sharath Kumar,Canon box seal found broken before we open the box,canon seal found broken open,21-10-2019,1
customer_review-R2U84QTFTX5I6,CUTE MK,nice camera for beginner,good beginner start photography,30-10-2019,4
customer_review-R3M1ZDOBC9H367,Chayan M.,"Nice product must buy , very light weight , if u r a photographer ( wildlife )",nice one mainly bought photography way much better videography well photography,11-11-2019,5
customer_review-R11P17ZNT0YNX5,Prashant K,Best for beginners,easy learn dslr beginners improved battery life also,23-07-2019,5
customer_review-R1B60TKU67R1FB,Amruthraj,Superb clarity and easy to use...,superb clarity easy use,12-08-2019,4
customer_review-R3U0GDUGJOY0AF,Nith,Not that much good...and not meets up expectations,goodand price also slashed 10k 2 weeksthis pathetic,28-10-2019,1
customer_review-R2L0XG3K59BIBO,Surya kant sahu,suparb,auto focus good,15-07-2019,5
customer_review-R23O1YHF55KK06,Nitesh Kr Singh,value of money,good best,10-08-2019,5
customer_review-R35F0J0YWXWVLJ,D. Das,Value for Money and Good for Beginners as well as Professional,complete value money go ahead beginners,10-11-2019,5
customer_review-R7XNUI4CYHWVO,Anwar Ibrahim Nazrawi,Product is good but not support boya by M1 mic,support boya m1 mic,29-11-2019,5
customer_review-RUT43M5QNG7L2,Sanjeev sahu,Manually on off not working,manuallyon working,02-10-2019,1
customer_review-R25WC4TBLZYQOR,Make it Large,Excellent Camera,excellent camera,21-08-2019,5
customer_review-RXMGKVVRVL5OG,Nitul Bordoloi,Great Camera,great camera video photography,15-10-2019,4
customer_review-R3BAFHFIP8PAC6,Bhumika sharma,Best Camera from canon,one best camera canon inc beginners suggest one amazon,31-08-2019,5
customer_review-R1MGP3TE4O8340,Jilsha kiran,I loved ir,good product value money,17-11-2019,5
customer_review-R2CSIN1APRJRKC,Cddu,Superb,good,03-11-2019,5
customer_review-R1HSVGQE8JMYCU,Syed Nabi,Awesome,awesome product beginners,23-08-2019,5
customer_review-RDBQFV9G3P16B,Mani M,Awesome,awesome camera beginners also important thing good video,27-08-2019,5
customer_review-R1VINFIKLOSDOO,Prakash Mohanasundaram,Superb,lovely dslr price superb,09-10-2019,5
customer_review-RQNG7KG89RIIM,lavanya,Not up to mark,product good worst delivery,25-10-2019,3
customer_review-R32OB2C6IF3MIF,JITESH RANA,Main ye camera abhi tak automatic main hi chalya hu fir bhi is ke photo ka result sab se achcha hai,awesome camera 50000 rs,07-11-2019,5
customer_review-R1PQHZ3ENORL7M,Amazon Customer,Nice,good camera love,17-11-2019,5
customer_review-R3NPDAH1WSXNJ0,Niran,Good Product,good product,18-10-2019,3
customer_review-REWPSKC3V96J6,Sanket Sawant,Pro,nice dslr,12-09-2019,5
customer_review-R2ZT3FSMK8UI2J,Dipanjan Ghosh,Beast in this price segment😍,best camera beginners love,06-11-2019,5
customer_review-R285YQJYKNFTW,Amazon Customer,"Nice camera, Go for it.",handy camera light weight good grip,03-11-2019,5
customer_review-R1RZOFH5N3RTJ1,SATHYAPAL KALLURI,Good product,useful youtubers best quality best product,10-11-2019,5
customer_review-RG8C6EH7J6XYX,M D patwa Deovanshi,Important For this product,dont know image quality camera good,10-11-2019,1
customer_review-R3D9OMLZR17DQ1,Tapan,No Universal pot for external Flash,universal pot externel flash,23-11-2019,3
customer_review-R3B9H05BP4RQML,Amazon Customer,Good camra for low budget,nice camra,26-10-2019,4
customer_review-R1BY5302XLR1PP,sreekesh k.e,Good for Beginners,excellent beginners,22-10-2019,5
customer_review-R2VI5NR87X4YKA,chiranjib,Value for money,good product rely,22-10-2019,5
customer_review-R2KKVRH9GKQ1FZ,PARTHA DAS,Good performance,beginners,09-11-2019,4
customer_review-R2LJJK8DZGYQWR,Nilesh chipade,Value for money,value money must,26-10-2019,5
customer_review-R1PYPKIBOMC42L,Amazon Customer,Ok,ok,06-11-2019,5
customer_review-R2R4TU06HUBKZJ,Amazon Customer,Nice,best,20-07-2019,5
customer_review-R1L0YUNE5F3RAV,Indra K.,Absolutely worth it 😁😁😁,good,16-10-2019,5
customer_review-R1ACLSLWS3FMT9,Dheesona,Great product!,awesome product canon using 2 weeks works like charm digic 8 superb job lightweight feature packed practical dslr worth price go would recommendation,30-05-2019,5
customer_review-RV0N9LSNYFYYU,Vignesh karthi,Excellent,excellent camera purchased june 25it 3975 dpaf see though lcdthrough viewfinder 9 cross type 3975 dpaf one strongest reason buy websites intensifies specificationeye tracking improves photodigic 8 processorhere crowd say go 200d mark2 waste moneybut dont take seriously 4k video recorderimproved battery life shots dont need extra battery pack costs around 2500rsit take 1050 shotsam already satisfied camera 3975 dpaf advanced,08-08-2019,5
customer_review-RRMWT68QVI1K2,Vishwajeet Patil,Beginners you must go for it.,excellent camerait 3975 dpaf see though lcdthrough viewfinder 9 cross type 3975 dpaf one strongest reason buy websites intensifies specificationeye tracking improves photodigic 8 processorhere crowd say go 200d mark2 waste moneybut dont take seriously 4k video recorderimproved battery life shots dont need extra battery pack costs around 2500rsit take 1050 shotsam already satisfied camera 3975 dpaf advanced beginners must go,01-09-2019,5
customer_review-RNQDQ4RSDUD4F,Ray,Ancient technologies meet branding and marketing,far canon goes holding features 200d ii top price 55k still stuck canon entry level 9 points af system believe sucks nikon 39 points af dual pixel af disaster low light 4000 points af system liveview though sounds delicious gimmick low light good choice want value money anything better studio camera videos go nikon sports simple experience slrs getting 200d ii miserable decision,22-11-2019,2
customer_review-R3A40DYBTIF33G,Vidhi Kishore,My first DSLR Camera 😍,though im professional bought camera 3 days back youtube using auto mode great beginners soon using manual mode,03-10-2019,5
customer_review-RN6O9C6YQW3PP,Aritra Roy chowdhury,Best product at this price,beginners good camera learn well picture quality awesome see,10-11-2019,5
customer_review-R1K0KLA1TC3G2K,Abhishek S.,Decent camera,needs better macro lens buy single lens kit upgrade later better lens camera good features offers easy operate,28-10-2019,4
customer_review-RAFNSSOBTNVUB,Arshad Khan,Missing central pin from hot shoe,worst thing camera removed central pin hot shoe external flash light work bewafa purchaing product,02-12-2019,2
customer_review-RSAK1IMVSOYUF,Vishnu Prakash,Is exchange possible with Canon 200d with extra lens ( Brought from Amazon itself this April),brought canon 200d april shall exhchange price used personal use used,10-09-2019,5
customer_review-R3FJQ01PI2TFPM,Aditya kumar,Best DSLR under 46000 for Youtubers As Well.,awesome camera youtube every single features available camera,10-12-2019,5
customer_review-RCLWJJTFEQ6NE,Sanskar,Best dslr at this price range,best dslrmust buybut ill recommend beginners,17-10-2019,5
customer_review-R16LOI47OB47Y4,TIRTHANKAR JANA,Canon 200d mark 2,allow bajaj fincerb emi card,02-10-2019,3
customer_review-R30PHFYNXXOUU0,Abhijit Howladar,Value for money,buying offline camera value money,09-11-2019,4
customer_review-R2RYGDLMSFK3D7,Bonjar Boro,Good for beginners,awesome sharp image,04-12-2019,5
customer_review-RBSWTOTDYR7I7,Faraz khan,Cool camera light waight,nyc prodect go,04-11-2019,5
customer_review-R15N84SVS72JUQ,Kishore,Best cam,superb gifted son training photo journalist,17-11-2019,5
customer_review-R10P38VTE0NLSI,sandeep choudhary,Good for beginners and youtubers,crop sensor gives additional distance subject nice camera beginners attaching sample pics camera overall nice camera 60k,25-12-2019,4
customer_review-R113AI6V1HQZWI,SaiT,Centre pin removed for Flash,recently bought canon 200d ii lot friends suggested go sony due respect canon went problem today faced event removed center pin hotshoe used flash top camera mad canon dont know engineering mistake im unsatisfied better hire intellectual people designing product remove center pin flash motive soon going lose reputation soon customers please let know solution,20-12-2019,1
customer_review-RILPVH8W9SOV4,ANJAN SAMANTA,Best Budget DSLR,best budget dslr beginners best quality compromise canon get camera body 1855mm kit lens 55250mm kit lens camera bag charger battery 16gb memory card strap,21-12-2019,5
customer_review-R1RVS9JKJEGNS6,Anand,Canon 1500D- An upgrade for Point & Shoot Camera,ok dslr giant canon launched 1 entry level dslr actually bought camera friend camera worth 31k lets see pros 1 easy use 2 decent battery backup 3 live mode operation lagging cons 1 focusing dslr making much noise kind annoying u lose interest taking photos 2 shortcut assigned button change f stop aperture manufacturer keeping dedicated button changing iso thing importance aperture 3 cant change focusing point pressing round dial system u press setup open 4 output image quality actually mind blowing 5 white balance use u want take risk 6 main issue u use camera flash snap pic focusing flicker like anything annoy irritate subject 7 noise noise noise whatever low iso use noise b went service center ask saying use prime lens get good output nikon user nikon d3400 compared cameras taking images settings manual mode output nikon better canon 1500d one word want push photography next level using point shoot mobile camera dslr learn whole dslr setting go mindset change camera 1 2 years canon accessories comparatively less costly nikon wont create hole ur pocket biased towards nikon wrote wat felt worth money,19-11-2018,2
customer_review-R3ILFTRUJW24FT,Sivanandham k,The best dslr for beginners,good quality photos getting 24px really good start beginners easy handle wifi advantages price little bit high,04-01-2019,5
customer_review-R25GDPN1018JVZ,Mandar Phatak,My first canon ....,great camera perfect product young budding photographer useful inhouse nature functions spare time photography take high quality pics videos portrait landscape wildlife nature pics etc,01-08-2018,5
customer_review-R1TXMKYTFHCP7K,Dipsruti,"Good camera for beginners, must try it!",good camera beginners,07-01-2019,5
customer_review-R3HP9NFGKYUY3D,vignesh,Best basic level dslr mainly for wireless remote controlling worth for group pics,really impressed amazon surprise delivering within 2 nd day ordered really packing excellent quality material awesome love control camera mobile wifi easy connect best one taking self photos group pics also quality canon speaks everything dont go oscillation beginners blindly got,23-01-2019,5
customer_review-R2JHMGHDD2JBAH,Saheli Biswas,Adopter Missing,received product dslr cannon 1500d 15 october 2018 adopter given along dslr common accessories must deliver soon possibleotheewise gave complain,26-10-2018,2
customer_review-R1JWKVM8GJFPEC,Laxmi P,Zero after sales service,buy product canon local service center help even providing product demo logged complain canon india site bothered reply amazon call raised hand saying proof non service local service center dslr producing blur images canon providing proper service stay away,03-11-2018,1
customer_review-R2LUUUUVBT0Z8Y,Sachin Srivastava,Request for replacement.,request replacement camera main body lot blackspotblackness automatically appears view finder mirror 15 days requested please replace camera soon possible awaiting early reply regards,17-11-2018,1
customer_review-RPNC5I4EVXR20,PABAN KUMAR SINHA,"What can I say...brothers it's ""canon""!",really fully content product reached within two days everything content doubt good condition may somewhat difficult beginners take long learn choosing canon nikon suggest canon real colour capturing fine focus lenses get slightly features nikon canon price doesnt mean surely better canon look contrast canon nikon internet think suggest canon,22-10-2018,5
customer_review-RSMBMX9ET630Z,Adarsh,Just buy if ur a beginner and ur first DSLR,auto focus perfect minimum aperture 45 dont expect much portrait focusing manually play lense1855 mm chance getting missing ur focus even though ur made correctly easy operate compared nikkon models fast moving subjects cannot captured expected due poor auto focus performance take 3 6 seconds focus internal lighting conditions fail focus several times dim lights plastic quality poor got rs18599 value money product dont go model ur willing pay 23k better go nikkon 5300,09-03-2019,3
customer_review-R2101EWHHWU6I6,Sootam,Begginers choice,camera perfect choice beginner price range decent camera user friendly recommend everyone buy camera tight budget,27-09-2018,5
customer_review-R10L6BIHJZ2DHI,Himanshu V Prajapati,Nice Product,good product really passion photography,21-09-2018,5
customer_review-R3LZTI826M5U55,Souvik Chattopadhyay,Budget Beast for BEGINNERS TO SEMI-PRO,got dual lens body 28k sbi mastercard exactly half showroom price early comment excellent delivery within 2 days say best beginners natural photos nikon pros handy easy use best blur 55250 lens various modes natural colour fast autofocus best fit beginners cons lack touchscreen look price bluetooth available cant operate camera connecting smartphone wifi connectivity available laptops suffer bit low light overall best beginners even upto semi pro level,17-10-2018,4
customer_review-R1ZVXKEV1BL877,Youtube Vlogger Sudipta,Perfect for Photography but not for videography,want upgrade camera point shoot dslr good camera want start videography dont buy auto focus video much bad want camera videography go foe canon 200d nikon d5600,20-01-2019,4
customer_review-R2EV4KAQKSBFM,Karan Kumar,If You are a Photographer Do not buy this,canon cheated entire photography community photographer use flash studio lights camera buy external flash studio ligits like elinchrom godox work reason saying mount flash put one point contact missing 1500d removed main point contact 1300d go 1300d,28-03-2019,1
customer_review-R1H2OEFSWQMKBL,Atma Nand,Good dslr,first thanks amazon giving wonderful offer dream comes true finally dslrpicture quite awesome day light well low light still learning different modes camera taking pictures beginners little difficult handle auto mode used dont understand anything quality pic comes better set camera manually,27-10-2018,5
customer_review-R227EMV498WI8N,Ravi,Faulty Battery,battery faulty drains even use,29-10-2018,1
customer_review-RT0ZUE26DHVAD,Satyajit Bachepallikar,Canon 1500 D,picture quality fantastic camera handling features good attract beginner,17-09-2018,4
customer_review-R12T4ILA4OYYJC,Hardeep Singh,Best entry level DSLR,best entry level dslr camera used point shoot mobile built guide makes easier use learn auto focus pictures quality also good time low lit situations generates noiy pictures use extra flash wise best videos also good blogging video use manual focus eyes use best results better nikon d3500 videos auto focus features better camera budget limited new dslr must buy,14-05-2019,5
customer_review-R1HOA1CIBU6Q1,DELRIN PRODUCTS (INDIA) PVT LTD,Charger faulty....,camera good conditioni received charger battery doesnt charge batterycharger received faultydont know go itas really frustrated return policy also,17-02-2019,1
customer_review-R2B1S7E89NR1M2,Lishen,WARRANTY CAN BE REGISTERED!! IT HAS 2 YRS WARRANTY!!!,warranty registered 2 yrs warranty finished registering camera lens great camera love steady great buy start hobbyprofession dont compare cameras 26k good great dslr 2yrs warranty take care parties weddings video shoots excellent battery life camera case good external mic,15-11-2018,5
customer_review-R12ZY5CV8TY0RQ,Amazon Customer,Not for YouTubers☹️☹️☹️☹️,dear friends buy camera youtube career buying camera youtube career bcz camera mic input also takes great videos able record great videos without mic input auto focus option video recording basic camera camera good pictures clicks,08-08-2019,2
customer_review-RRBL3J3GY0MHK,Chaitanya,Awesome,excellent camera beginners advance users 241 mp gets pictures crystal clear suggest get deal ends,17-10-2018,5
customer_review-R1MI7WHTYP2D3U,gladson,Got lamp shades ... I need it refunded..,got lamp shades instead camera,13-02-2019,1
customer_review-R3AUH5K2ZMJVRF,Raj006,A superb product,thanks amazon courier partner quick delivery well awesome deal amazon purchased around 215k free gift motorola wired headphone worth 650 coming camera great learning camera especially beginners love photography also want enhance personal experience using week combination shutter speedaperture iso desired white balance click practically desired picture want click camera comes 1855 lens self acclaimed beginners master parameters lens obviously go desired range lens available market shortcoming personally found focus need adjusted manuallyyou need patience clicking raw pictures shortcoming sure area need improve camera,13-08-2019,4
customer_review-R2KGDWL1EWTU3O,Anand Gupta,Not what I expected,paid rs 20240 product read reviews say bought expensive people got rs 18000 offer period tried features felt terribly disappointed autofocus joke takes forever click photo slightest low light annoyed feel like bought cyber shot instead nikon d3500 way better hands terms clarity photographs quality iso battery grip display however youll pay rs 30004000 thats worth dont buy dslrs every day choose better camera,19-07-2019,1
customer_review-R2OEJG7MUZDM8V,Vyankatesh,Good Camera but very performance slow,bought camera working well 1855 lens move 55255 performance low battery backup also less overall good camera night 55255 lens take hell alot time focus suggestion go 200d amazon wont refund sell camera olx,03-12-2018,3
customer_review-R2BT2T7MHRSKQK,Arjun Pal,Original Product | Lowest Price | Excellent DSLR for beginners,purchased brother last year amazon got single kit slightly disappointed due otherwise excellent dslr beginners easy use good quality decent battery backup worth money fact expectations high stabilization photo output etc please go canon 5d7d beginners 21k buy keep expectations much pay p,09-07-2019,5
customer_review-R2EMVG44J1YJ9S,swapnil,Returned ptoduct,delivery boy calling pick product returned item,06-11-2018,1
customer_review-R28R55L3PWT8LA,Venukumar,"Best Cam, but worst Amazon delivery services",candid pics excellent picture clarity best price cant ask great cam first dslr folks disappointment courier service pathetic service amazon delivery worst since couple months recently amazon rethink courier partner big drawback worst way delivery service,09-11-2018,5
customer_review-RKPOF3ODTH5SA,Deepesh Singh,Totally loving it.,3 hours make decision next day flight korea thought buying dslr night didnt make decision earlier one iphone kind best class camera quickly research found 34 options watched 23 youtube videos make final call guess made right choice took next day morning delivery paying 50 rs extra camera superb 5 stars though handled sony camera earlier first dslr believe quite easy follow instructions manual would highly recommend read manual try homerehearsal go capture actual pictures attaching pics captured 2 hours experiment,11-09-2019,5
customer_review-R3U0INJ6HDTHR4,Verified Purchase,Great product,dslr feasible price excellent picture quality sturdy body ergonomic design easy grasp compatible accessory lens like tele zoom lens macro lens part standard lens kit easy operate fairly good battery life easy connectivity multiple options wireless usbhdmi etc,05-03-2019,5
customer_review-R2778BXRWT1FSN,Cince John,Issue with No Cost EMI,camera gud one brought cost emi 97086 6months 2537614 deduction 97086 emi 439116 6monthsthat comes 2634696 question get cost benefit 97086,11-02-2019,2
customer_review-R2VF81YLMSOF45,Navin Shaw,Brilliant entry level DSLR,beginners great option go learning basics photography image quality decent low light photography control rest covered,13-10-2019,5
customer_review-R1WD1JBLJ7AW1B,Shreyas R,Get my item replaced by another model,wanted return order day purchase canon 200d like never option tried contacting cx care number times nobody help atlease got chance ask assistance regarding return still packed happy product even charged battery even,31-05-2019,1
customer_review-R2HD6HYSC2DTMH,BeeMall,Defective and Outdated Camera dumping in indian market through Amazon Market Place,may good camera experienced professional photography challenging newcomer photography 1flash makes much noise 2you cannot record good quality sound support external mice 3this camera support audio jack recording sound 4wifi control video recording function 5no bluetooth connection could established devices 6this camera manufactured recently recent audio jack 7they using old audio jack technology external audio jack compatible canon give one connectin cable audio jack complies camera unfortunately camera provide thus concluded outdated product dumped indian market amazon platform canon disprove remove product review update,05-11-2019,1
customer_review-R15PJTH0GYIHLY,Bhushan Rahate,Superb DSLR camera in the price range..,canon 1500 best entry level dslr easy convenient usethe canon connect app jst superb u dnt worry abt transfering pics memory cardjst connect dslr inbuilt wifi ur smartphone jst view download picsave ur phonelaptop u also view click ur smartphonethis best function camerathe dslr works well even low lighti tried clicking pics without using flashand came superbimages crisp issue pixelisationday time images superb doubt,16-01-2019,5
customer_review-R36VE6OTPHZJES,Sravan Kumar,"Rookie to Photography, just go ahead and buy canon",product delivered less 8 hours thanks amazon prime product deliveded good condition accessories mentioned amazon im new user dslr camera easy use commonly used modes typebfor photography comes really handy picture quality resulting good enter level dslr,15-11-2018,5
customer_review-R2HOG33E2P5U2L,Akhil Rajendra,I need to return or replace the Product,need return replace product informed canon amazon canon eos1500d hot shoe 4 points main 5th one thus support studio lights trigger genuine customer visited whole mumbai city buy adopter available asking amazon canon return replace product simply getting away saying return window closednot fair,07-02-2019,1
customer_review-R17AXGKTBYN0AU,Amazon Customer,Camera not working properly,used 4 5 times till working properlyi thinking might setting problem setting problem press click button stuck screen always show busy error got frustrated pick clicking pictures problem first switched work 1 click show busy click button work even able press gets jam timekindly needful bcz still warranty,28-01-2019,2
customer_review-R2BUSZ3MHSUOGN,Samuel,Did not satisfied,cannot attach flashgun,06-10-2018,1
customer_review-R8RUWQXNN30XL,Mithun Kagayan,Great DSLR experience. Love CANNON,first ever dslr cannon 1500d bought amazon wit grt independence day offer around 23k package included 16 gb card battery cahrger strapnew carry bag camera body kit lense beginners great dslr camera learn photography im planning buy 50mm lense later pros 1 new dslr go 2 wifinfc working well shoot camera using android mobile phones touching camera easy connect transfer file mobilecomputer etc 3 video quality also great cons 1 feel bit heavy wit kit lense dont know may feel like im first time dslr user,19-08-2019,5
customer_review-RPA4Z6INA6IOF,Parag,Good camera for beginners,great product naught 1 day family trip professional photography experience still pictures perfect auto mode exploring features beginner looking phone must ordered 1 lens regret decision 55250 lens costly naught separately would suggest anyone go lenses budget permits though 1855 lens fine need zoom much helpful,12-10-2019,5
customer_review-R3UTSC666F80AV,Mani,"Best for entry level, best option at low cost!!",amazing product got 11 extended warranty using working good got product clean sealed condition pros 1amazing picture quality 2 handy 3light weight 4gripping good 5 best features wifi nfccan transfer images directly phone pc 6 memory card one battery included cons 1 camera carrying bag small 2 extra battery package buy extra one backup 3 dont come screen protector buy lcd display protection scratches,04-10-2019,5
customer_review-R2JWYQS043763K,P CHUDASAMA,Superlative performance,first ever dslr great experience pictures great gained professional confidence click good pictures thanks cannon introducing great entry level dslr affordable price amazonebattery also long lasting easy usei must suggest everyone looking entry level dslr please go,07-11-2018,5
customer_review-R2DWJ1TXK84O6R,Kejal,Well built,dslr relatively compact light weight easy operate although certainly step smartphone exciting satisfying use anyone deep interest photography build quality good enough withstand normal usage although rough treatment neither camera lens weatherproof kit lens average performer across focal length range id recommend paying extra stabilisation add telephoto lens basic package lacks features especially 30fps recording 9point focus system lack headphone jack photography camera makes still great picture quality amazing battery life price doubt would provide best stepping stone beginners want improve mastery photography,15-03-2019,4
customer_review-R97DXNIQQV1DC,Arjun259,Great Camera among all DSLR,great dslr begenersamazing quality ant trust canon recomended photo enthusist normal household events functions good user experience camera bag came giodrecomended chenage foe added safty,12-02-2019,5
customer_review-R3IPIPBCE3YCYJ,Sirish Kumar,Grabbed at Lowest Price,happy price got 19990 sale camera works well explore options hope good beginners play around,10-11-2018,5
customer_review-R3QJYKCVQ3GWQC,Keyur Panchal,Great camera with nice picture quality.,great camera picture quality really nice really feel difference 241mp photo quality comparison photos clicked older 181mp 1200d camera received super deal amazon great indian festival big thank amazon,26-10-2018,5
customer_review-R2FSPO8E6R55TE,Suresh kumar kombathula,Value for money,nice camera dslr beginners,09-08-2018,5
customer_review-R2U55D6THWQGOM,Sathishkumar,Disoppointing with this product....,amazon dispatched camera 08102019 home went official trip time hence able check operation came home 23102019 opened product captured images good later tried transfer images camera mobile wifi found camera getting switched tried several times problem remain tried return camera seller accepting request date return already crossed contacted friends working photo studio regarding expressed canon eos 1500d types problem seen many cameras problems request buyers willing buy product pls avoid online purchases product verify purchasing request amazon help us regarding issue,23-10-2019,1
customer_review-R1U7N3FE1HOB2N,nikhil adlinge,Disappointed from Amazon,first ordered product amazon great sale 34000 next day price 30000 disappointed camera beginners wants learn basic photography casual use want proper professional camera photography would suggest go 70d,02-10-2019,1
customer_review-RKXQ6SSP935TA,Anup dutta,Nice one for Beginners,using 1 week got know like perfect beginners entry level good autofocus 241 mp cmos sensor works well better 3000d shutter speed bit slow 3 snaps per second except everything perfect beginners lens provided along soo good use prime lens wonders,09-08-2019,4
customer_review-R2FOOD4D5FOSL5,Guna,Value for money.,im using product past two months list good bad good battery life low cost image quality easy beginners value money wifi share bad plastic material body less photoshoot options ui mark,03-11-2018,4
customer_review-R3ZIQ97OH7KZA,Shiva Dharshan Vanapalli,Take you Step Forward - Go for it!,ordered product rs 21990 using prime 22102019 1000pm received next morning product packed tight perfectly sealed condition box contains camera body 1855 lens strap battery battery charging adapter wire kingston 16gb memory card carry case warranty card guide turned mounting lens body started click pictures must say quality pictures damn great amazing tried clicking pictures potraits close ups flash mode results awestruck also connected camera mobile using wifi canon camera connect app playstore product supports wifi nfc using remote access controlled camera clicked images seemed perfect wow noticed autofocus bit slow talk later part proper utilisation conclude must buy camera beginners hobby photographers reasonable price,23-10-2019,5
customer_review-R3C7R1D5RM0B7P,Baljinder singh,Don't buy this camera for video recording,camera photography u cant record good video doesnt continuous autofocus video recordingeven mobile phones function auto focus fixed video recordinglike u move videothen u get focuswhich disgusting video means movie moving object,26-05-2019,1
customer_review-RA9C8NVH88PYN,Jobins,Just the right DSLR for beginners,first camera im extremely happy choice right dslr beginner displayed instruction every function helps navigate within day two know everything really fast auto focus picture quality absolutely stunning beginner feel couldnt chosen better one,10-11-2019,5
customer_review-R1GZOFIQS54YIO,Abhishek Rai,Worth it 👍,awesome product home canon product really fine handle thanks amazon team youre beginner go basic training classes youtube instructor functionality product far interesting beginner learn step step end product worth unique budget go,29-01-2019,5
